complaint_id,complaint_timestamp,purchase_date,purchase_time,venue_id,venue_name,venue_type,anonymised_complaint_text,symptoms,symptom_onset_hours,food_item,meal_type,inspection_date,inspection_score,inspection_status,previous_violation,location_zone,vulnerable_area_flag,duplicate_group_id,ground_truth_cluster_id
CMP-10001,2026-07-07 03:42:45,2026-07-06,23:15:25,VEN-001,Golden Spice Biryani House,Restaurant,Ordered chicken biryani from Golden Spice Biryani. My whole family had vomiting and cramps after dinner.,"Mild Fever, Nausea, Vomiting",7.1,Chicken Biryani,Dinner,2026-06-20,62.0,FAIL,Improper Refrigeration Temp,Zone-1 North,1,NONE,OUTBREAK-A-BIRYANI
CMP-10002,2026-07-07 02:51:17,2026-07-06,22:47:18,VEN-001,Golden Spice Biryani House,Restaurant,Had chicken biryani for lunch at Golden Spice. Started vomiting and had severe diarrhea later that evening.,"Stomach Cramps, Nausea, Diarrhea",5.9,Chicken Biryani,Lunch,2026-06-20,62.0,FAIL,Improper Refrigeration Temp,Zone-1 North,1,DUP-A-0,OUTBREAK-A-BIRYANI
CMP-10003,2026-07-07 20:14:28,2026-07-07,06:24:55,VEN-001,Golden Spice Biryani House,Restaurant,Had chicken biryani for lunch at Golden Spice. Started vomiting and had severe diarrhea later that evening.,"Vomiting, Nausea, Stomach Cramps",5.4,Chicken Biryani,Lunch,2026-06-20,62.0,FAIL,Improper Refrigeration Temp,Zone-1 North,1,DUP-A-0,OUTBREAK-A-BIRYANI
CMP-10004,2026-07-07 04:57:05,2026-07-06,23:51:33,VEN-001,Golden Spice Biryani House,Restaurant,Ate chicken biryani meal at Golden Spice House. Sick all night with nausea and diarrhea.,"Diarrhea, Nausea, Vomiting",5.1,Chicken Biryani,Lunch,2026-06-20,62.0,FAIL,Improper Refrigeration Temp,Zone-1 North,1,DUP-A-0,OUTBREAK-A-BIRYANI
CMP-10005,2026-07-08 03:28:53,2026-07-07,23:39:08,VEN-001,Golden Spice Biryani House,Restaurant,Ordered chicken biryani from Golden Spice Biryani. My whole family had vomiting and cramps after dinner.,"Vomiting, Mild Fever, Stomach Cramps",8.0,Chicken Biryani,Lunch,2026-06-20,62.0,FAIL,Improper Refrigeration Temp,Zone-1 North,1,DUP-A-0,OUTBREAK-A-BIRYANI
CMP-10006,2026-07-08 06:53:01,2026-07-07,17:41:37,VEN-001,Golden Spice Biryani House,Restaurant,Ate chicken biryani around 1pm at Golden Spice Biryani House. Developed violent vomiting and stomach cramps by 8pm.,"Diarrhea, Nausea, Mild Fever",5.9,Chicken Biryani,Dinner,2026-06-20,62.0,FAIL,Improper Refrigeration Temp,Zone-1 North,1,NONE,OUTBREAK-A-BIRYANI
CMP-10007,2026-07-08 04:29:16,2026-07-07,23:40:36,VEN-001,Golden Spice Biryani House,Restaurant,Had chicken biryani for lunch at Golden Spice. Started vomiting and had severe diarrhea later that evening.,"Nausea, Stomach Cramps, Diarrhea",5.1,Chicken Biryani,Dinner,2026-06-20,62.0,FAIL,Improper Refrigeration Temp,Zone-1 North,1,DUP-A-1,OUTBREAK-A-BIRYANI
CMP-10008,2026-07-07 01:34:21,2026-07-06,19:18:32,VEN-001,Golden Spice Biryani House,Restaurant,Had chicken biryani for lunch at Golden Spice. Started vomiting and had severe diarrhea later that evening.,"Mild Fever, Vomiting, Stomach Cramps",5.3,Chicken Biryani,Lunch,2026-06-20,62.0,FAIL,Improper Refrigeration Temp,Zone-1 North,1,DUP-A-1,OUTBREAK-A-BIRYANI
CMP-10009,2026-07-07 17:01:49,2026-07-07,08:29:56,VEN-001,Golden Spice Biryani House,Restaurant,Ordered chicken biryani from Golden Spice Biryani. My whole family had vomiting and cramps after dinner.,"Diarrhea, Vomiting, Stomach Cramps",4.3,Chicken Biryani,Lunch,2026-06-20,62.0,FAIL,Improper Refrigeration Temp,Zone-1 North,1,DUP-A-1,OUTBREAK-A-BIRYANI
CMP-10010,2026-07-06 22:28:00,2026-07-06,18:43:09,VEN-001,Golden Spice Biryani House,Restaurant,Ate chicken biryani around 1pm at Golden Spice Biryani House. Developed violent vomiting and stomach cramps by 8pm.,"Nausea, Vomiting, Stomach Cramps",5.0,Chicken Biryani,Lunch,2026-06-20,62.0,FAIL,Improper Refrigeration Temp,Zone-1 North,1,DUP-A-1,OUTBREAK-A-BIRYANI
CMP-10011,2026-07-07 18:17:51,2026-07-07,10:41:10,VEN-001,Golden Spice Biryani House,Restaurant,Ordered chicken biryani from Golden Spice Biryani. My whole family had vomiting and cramps after dinner.,"Mild Fever, Stomach Cramps, Diarrhea",4.8,Chicken Biryani,Dinner,2026-06-20,62.0,FAIL,Improper Refrigeration Temp,Zone-1 North,1,NONE,OUTBREAK-A-BIRYANI
CMP-10012,2026-07-07 04:35:33,2026-07-06,21:14:20,VEN-001,Golden Spice Biryani House,Restaurant,Had chicken biryani for lunch at Golden Spice. Started vomiting and had severe diarrhea later that evening.,"Nausea, Stomach Cramps, Vomiting",4.0,Chicken Biryani,Lunch,2026-06-20,62.0,FAIL,Improper Refrigeration Temp,Zone-1 North,1,DUP-A-2,OUTBREAK-A-BIRYANI
CMP-10013,2026-07-06 22:38:14,2026-07-06,17:17:33,VEN-001,Golden Spice Biryani House,Restaurant,"Got take-out biryani from Golden Spice. Experienced diarrhea, nausea, and vomiting within 6 hours of eating.","Diarrhea, Stomach Cramps, Vomiting",7.5,Chicken Biryani,Dinner,2026-06-20,62.0,FAIL,Improper Refrigeration Temp,Zone-1 North,1,DUP-A-2,OUTBREAK-A-BIRYANI
